DateTime,AddedIPs,RemovedIPs
1542973935,160,84
1542975881,149,645
1542977793,116,1027
1542979699,129,89
1542982592,294,295
1542984489,189,97
1542986697,438,122
1542988577,122,104
1542990502,139,101
1542992454,119,476
1542994362,116,892
1542996374,152,103
1542998178,144,320
1543000118,147,670
1543002019,140,398
1543003950,161,349
1543005876,124,319
1543007791,139,218
1543009699,139,229
1543011627,176,220
1543013864,156,240
1543015968,143,197
1543017858,123,150
1543019802,151,142
1543021725,127,182
1543023640,199,150
1543025568,319,164
1543027482,278,178
1543029400,211,1043
1543031313,172,126
1543033242,183,150
1543035163,273,280
1543037071,387,125
1543038974,107,151
1543040910,205,131
1543042852,345,139
1543044866,118,133
1543047164,119,160
1543049060,93,134
1543050994,93,146
1543052899,95,169
1543054818,83,161
1543056889,1762,148
